"If an Autistic Girl From Rural Mississippi Can Make It in Infosec, So Can You: Building a Cybersecurity Career on Your Own Terms", Hire Ground,Tuesday, 11:00-11:55, Florentine B
"Introduction to offline password cracking with Hashcat", PasswordsCon,Tuesday, 11:00-12:00, Siena
"It bleeds…but we can’t kill it: how IPIDEA’s weak opsec allowed us to see the inner workings behind the botnet’s resilience.  - TOKEN: 5", Skytalks,Monday, 17:00-17:45, Tuscany
"Keynote : Patching the Law: How Hackers Helped DOJ Protect Security Researchers", Breaking Ground,Monday, 11:30-12:15, Florentine A
"Legalized Discrimination: How Algorithms gradually take away our rights", Proving Ground,Tuesday, 12:00-12:45, Firenze
"Locknote : The End of the Beginning", Breaking Ground,Wednesday, 13:00-13:45, Florentine A
"Low Severity, High Impact: The Bugs Companies Ignore", Breaking Ground,Monday, 17:00-17:45, Florentine A
"Lyra: An LLVM IR Obfuscator for Rust", Breaking Ground,Tuesday, 18:00-19:00, Florentine A
"MCP Servers Are a New Attack Surface: A Practitioner’s Guide to Building and Using Them Securely", Proving Ground,Tuesday, 17:30-18:00, Firenze
"Making Preparedness and Personal Resilience Approachable", I Am The Cavalry,Wednesday, 10:00-10:30, Copa
"Making the Leap: Advice for Career Field Changers or those new to IT", Hire Ground,Wednesday, 12:00-12:25, Florentine B
"Mapping the AI Security Landscape: A Comprehensive Analysis of Research Clusters, Disciplinary Gaps, and Defense-Attack Misalignment", [un]prompted,Monday, 18:00-18:30, Siena
"Mind the Gap: Bridges, Backplanes, and BloodHound", Breaking Ground,Tuesday, 14:00-14:30, Florentine A
"Minutes from Malice: Detect Cloud Exposures in Minutes", Proving Ground,Wednesday, 11:00-11:30, Firenze
"Mitigating Digital Risk in Critical Infrastructure", Training Ground,Tuesday, 10:30-14:30, H112
"Music School Dropout to Cybersecurity Auditor - My Journey Into Cybersecurity", Hire Ground,Wednesday, 12:30-12:50, Florentine B
"My email address is an API key?", PasswordsCon,Tuesday, 14:30-15:00, Siena
"No Water: No Hospitals : Continuity of Care under Crisis", I Am The Cavalry,Monday, 17:00-18:00, Copa
"Nobody Told Me I Could Grow: Building a SOC Career You Actually Want", Hire Ground,Wednesday, 11:00-11:55, Florentine B
"Nullify Prompt Injection Attacks", [un]prompted,Monday, 14:00-14:30, Siena
"OT Systems: how to secure them in practice!", Training Ground,Wednesday, 10:00-12:00, H114
"One Package, One Backdoor: Can AI Stop the Next Supply Chain Attack Before It Reaches You?", Common Ground,Monday, 18:00-18:45, Florentine F
"Open Relays in 2026: Red Team Initial Access Vectors", Breaking Ground,Monday, 15:00-15:45, Florentine A
"Operation Graceful Exit: Creating Smart Policies For Software End of Life", I Am The Cavalry,Tuesday, 18:30-19:15, Copa
"Paved Roads, AI Potholes: Security Platform Engineering in 2026", [un]prompted,Monday, 15:30-16:00, Siena
"Power Resilience for  Lifelines :Can The Electrotech Stack  Light the Way?", I Am The Cavalry,Tuesday, 14:00-15:00, Copa
"Privacy’s Defenders: How Hackers Helped and Can Do So Again", Common Ground,Monday, 11:00-12:00, Florentine F
"Programming PLCs for Fun, Profit, and Disaster: Get Your Shit Off the Internet - TOKEN: 15", Skytalks,Wednesday, 11:15-12:45, Tuscany
"Prompt Injection Is an Auth Bug: The Case Against Bearer Tokens in an Agentic World", [un]prompted,Monday, 11:00-11:30, Siena
"Proxy Networks and the Threat to Critical Infrastructure", I Am The Cavalry,Tuesday, 10:45-11:30, Copa
"Putting the CAT in the HAT: Exploring Cognitive Threats in the Context of Human Autonomy Teams (HAT)", Ground Truth,Tuesday, 10:00-10:45, Florentine E
"Quality Over Quantity: A Targeted Approach to Breaking Into Cybersecurity", Proving Ground,Tuesday, 14:00-14:30, Firenze
"Reality Pentesting in Practice: Hands-On Cognitive Red-Teaming", Training Ground,Monday, 15:00-19:00, H112
"Reheated Leftovers are Making Us Sick: How Old Data Breaches are Causing New Problems", PasswordsCon,Wednesday, 11:00-11:30, Siena
"Rejected-Input Programming: Exploiting Parsers That Say No Too Late", Breaking Ground,Wednesday, 10:00-10:30, Florentine A
"Rekt Teaming: What Attackers See When They Look at Your Bug Bounty PoC", Breaking Ground,Wednesday, 11:30-12:15, Florentine A
"Reverse Engineering and Exploitation from Real DEF CON Challenges", Training Ground,Tuesday, 15:00-19:00, H112
"Root Access to Reality — A Project Management Bootcamp for Hackers", Training Ground,Monday, 15:00-19:00, H114
"Root To CISO – Just AIsk", Hire Ground,Monday, 14:00-14:55, Florentine B
"S.L. Confidential: The Dirty Secrets of InfoStealers - TOKEN: 3", Skytalks,Monday, 14:00-14:45, Tuscany
"SIGINT and the U.S. Intelligence Community: What I Actually Did During OEF - TOKEN: 9", Skytalks,Tuesday, 12:00-12:30, Tuscany
